created,sentiment.compound,sentiment.neg,sentiment.neu,sentiment.pos,tweet_text,user
2018-06-24 19:03:02,0.0,0.0,1.0,0.0,"Follow the inner workings of @nytimes, one of the most prolific American media outlets, during the first 12 months… https://t.co/sTcKSPw5QW",BBC
2018-06-24 18:32:03,-0.5574,0.153,0.847,0.0,🚗 🇸🇦 Women in Saudi Arabia are hitting the road as the country's ban on women driving officially ends. https://t.co/RLv1njCk5t,BBC
2018-06-24 18:10:27,0.5994,0.0,0.755,0.245,"RT @BBCWthrWatchers: Beautiful ""night shining"" clouds, captured by our Weather Watchers #NoctilucentClouds https://t.co/FE9F3YQ3Kd",BBC
2018-06-24 18:04:04,-0.5267,0.195,0.805,0.0,"This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/AOmhtLjldy",BBC
2018-06-24 17:08:05,0.6705,0.078,0.658,0.263,"43% of female festival goers under 40 say they've faced unwanted sexual behaviour at a music festival, a new survey… https://t.co/Wd5gcaHCgH",BBC
2018-06-24 16:02:06,0.0,0.106,0.787,0.106,"Imagine waking up one morning and you've lost the ability to speak or move your hands.
(via @BBCThree) https://t.co/M8IJVGSoE7",BBC
2018-06-24 15:18:03,0.0,0.0,1.0,0.0,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/HHjrHbsIb8",BBC
2018-06-24 14:29:47,0.5859,0.0,0.888,0.112,"RT @BBCMOTD: #ENG win 6-1 ✅
On a Sunday ✅
In the Sun ✅

Live scenes across England right now ☀🎉

#ENGPAN https://t.co/pOqaVykdHG",BBC
2018-06-24 14:20:08,0.0,0.0,1.0,0.0,"❤️💍 Game of Thrones stars, Rose Leslie and Kit Harington have tied the knot at a ceremony in Aberdeenshire.
👉… https://t.co/VzvDpNHgRO",BBC
2018-06-24 13:03:02,-0.4215,0.135,0.865,0.0,"💔🦍 Koko the gorilla sadly passed away this week, aged 46.

This is the story of her life. https://t.co/rIRb7mHpJx",BBC
2018-06-24 12:02:03,0.0,0.0,1.0,0.0,🐛 Did you know there's a whole world on the back of a sloth?  https://t.co/wRWmXa7j4R,BBC
2018-06-24 11:04:03,0.8268,0.0,0.688,0.312,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl",BBC
2018-06-24 10:52:39,0.2942,0.0,0.897,0.103,"RT @BBCWorld: ""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/…",BBC
2018-06-24 10:03:02,0.3612,0.0,0.783,0.217,"Getting ready for #ENG v #PAN like... ️⚽️🏆💪 @JKCorden #WorldCup 

https://t.co/EbID4RxLuE",BBC
2018-06-24 09:33:12,0.6269,0.0,0.745,0.255,"RT @BBC6Music: Ah, it seems so peaceful @GlastoFest this weekend. (via @bbcsomerset)  https://t.co/JzF0sbDEEh",BBC
2018-06-24 09:04:05,0.34,0.0,0.882,0.118,"Today, England play their first ever match against #WorldCup debutants Panama. 🦁🦁🦁

World Cup 2018: #ENG v #PAN | 1… https://t.co/rZLcc8qfZ8",BBC
2018-06-24 08:37:50,0.0,0.0,1.0,0.0,"RT @BBCWorld: New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt7…",BBC
2018-06-24 08:20:08,0.0,0.0,1.0,0.0,"What's happened since #BluePlanet2 first aired and what does Sir David Attenborough think about the response?
👉… https://t.co/Qo4Nu3wQHT",BBC
2018-06-24 07:01:05,0.3182,0.24,0.413,0.347,"⚽️❤️ I. Bloody. Love. Football. 
#WorldCup https://t.co/vrmHGAfFYY",BBC
2018-06-23 20:12:00,0.0,0.0,1.0,0.0,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/KwcWT38E6F",BBC
2018-06-23 19:02:02,0.0,0.0,1.0,0.0,"Live coverage of England's clash with New Zealand in Colorado, USA. 🏉

Rugby League: New Zealand v England | 9pm |… https://t.co/gNfWK4lAsg",BBC
2018-06-23 17:06:01,0.5719,0.0,0.821,0.179,☀️🙌 Thousands of people gathered at Stonehenge this week to watch the sunrise and celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,BBC
2018-06-23 16:02:02,0.7412,0.0,0.614,0.386,"⚽🐝 Goal!!!
These clever bumblebees have been taught to play football. https://t.co/00fEPKxEYQ",BBC
2018-06-23 15:00:27,0.4019,0.0,0.847,0.153,"📱♿️ This 13-year-old made an app to help disabled people find accessible services. 
(via @BBCThree) https://t.co/EkjrhQOFi3",BBC
2018-06-23 14:02:01,0.0,0.0,1.0,0.0,"Unlocking the hidden life of Frida Kahlo.
👉 https://t.co/g8KqGCs5JX https://t.co/SyRnFXRvNQ",BBC
2018-06-23 12:57:05,0.0,0.0,1.0,0.0,"🎶🎤Meet the stockbroker who writes hits for @LittleMix and @JessGlynne 

https://t.co/zYl0M4CHcj https://t.co/s8HYxwiDKr",BBC
2018-06-23 12:00:16,0.0,0.0,1.0,0.0,"🎶 SOUND ON 🎶 
Below the big blue there is green! 💚
#OurBluePlanet w/ @OceanX https://t.co/E46jJvtmrN",BBC
2018-06-23 11:01:06,0.0,0.0,1.0,0.0,"Faced with extreme weather, Bolivian farmers are going underground.
#BBCTakingTheTemperature https://t.co/ocATWI0jPL",BBC
2018-06-23 10:02:04,0.0,0.143,0.675,0.183,"The ban on microbeads in certain products has begun in England and Scotland.

Here are some natural alternatives so… https://t.co/vqESNyr5qD",BBC
2018-06-23 09:01:05,0.0,0.0,1.0,0.0,"😍🐿 Baby squirrels grow up so fast! 
#SuperSquirrels https://t.co/NzSE4lUIC8",BBC
2018-06-23 07:59:02,0.2732,0.0,0.86,0.14,There has been a significant fall in the number of cases of HPV following the introduction of a vaccine for young w… https://t.co/19trkIMZ91,BBC
